date_ym,ETHNIC_BEL,ETHNIC_UKR,ETHNIC_GER,ETHNIC_POL,ETHNIC_ARMENIAN,ETHNIC_GREEK,ETHNIC_JEWISH,ETHNIC_KABARDIN,ETHNIC_KALMYK,ETHNIC_CHINESE,ETHNIC_KOREAN,ETHNIC_LATVIAN,ETHNIC_LITHUANIAN,ETHNIC_OSSETIAN,ETHNIC_ESTONIAN,ETHNIC_TATAR,ETHNIC_CHECHEN,n
1921-1-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1921-1-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
1921-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
1921-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1921-10-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1921-10-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1921-10-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1921-10-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
1921-10-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1921-10-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1921-10-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1921-10-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1921-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573
